"k","l","cm","n_missings"
10,1,[255 8 2 3 4 2 9 4 4 7; 0 335 3 0 2 0 0 3 1 4; 10 13 277 4 3 2 3 10 4 2; 10 32 7 245 1 8 2 12 9 4; 2 27 2 0 267 0 9 8 0 18; 4 25 4 7 4 229 27 2 7 10; 18 10 2 0 1 6 296 1 8 0; 1 14 5 0 0 0 2 300 2 3; 5 11 5 10 1 9 23 1 266 13; 4 36 3 3 35 3 0 11 2 234],0
10,2,[253 7 2 4 5 2 10 3 5 7; 0 333 3 1 2 0 1 3 0 5; 8 11 280 3 3 2 3 12 2 4; 8 34 8 243 1 8 2 11 10 5; 2 31 3 0 264 0 8 9 0 16; 4 26 3 9 2 226 29 3 6 11; 18 8 2 0 1 6 298 1 8 0; 0 14 5 0 0 0 2 300 2 4; 6 12 5 10 1 8 23 1 265 13; 4 33 4 5 33 4 0 10 2 236],0
10,3,[253 7 2 3 4 2 10 3 5 7; 0 334 3 0 1 0 1 3 1 4; 8 13 277 3 2 2 2 11 2 4; 6 32 9 247 1 7 3 11 7 5; 3 25 2 0 268 0 9 8 0 16; 3 24 2 8 2 229 27 1 6 10; 18 10 2 0 1 6 297 1 7 0; 1 13 5 0 0 0 2 301 2 3; 5 13 5 8 1 7 23 1 265 13; 4 34 3 4 36 3 0 11 2 232],23
10,4,[248 5 1 2 3 2 10 4 4 3; 0 331 3 0 1 0 1 3 0 5; 6 12 271 3 2 2 2 11 2 0; 5 31 5 236 0 6 1 11 7 4; 0 30 2 0 256 0 9 7 0 17; 3 21 0 7 2 219 23 1 4 6; 18 8 2 0 1 5 296 1 7 0; 0 11 5 0 0 0 2 299 2 2; 4 9 4 6 1 4 19 1 262 12; 3 30 2 3 35 3 0 11 2 227],153
10,5,[241 4 0 2 2 0 9 2 3 3; 0 330 2 0 1 0 0 2 0 4; 4 10 262 1 1 1 1 7 0 0; 4 28 4 214 0 5 1 8 4 2; 0 21 0 0 248 0 6 2 0 12; 1 15 0 5 1 201 19 1 0 4; 17 7 0 0 0 3 286 1 5 0; 0 11 3 0 0 0 0 286 1 1; 1 8 1 2 0 3 14 0 236 9; 1 28 0 3 35 3 0 7 1 216],413
10,6,[231 2 0 1 0 0 3 1 2 3; 0 322 2 0 1 0 0 1 0 2; 2 7 242 1 1 0 1 5 0 0; 2 26 2 181 0 0 1 5 3 1; 0 15 0 0 228 0 3 1 0 9; 1 11 0 3 1 176 11 1 0 2; 10 5 0 0 0 3 264 1 3 0; 0 10 1 0 0 0 0 276 0 1; 0 7 0 0 0 3 6 0 200 5; 1 23 0 3 22 1 0 6 0 190],746
10,7,[211 2 0 0 0 0 0 1 1 1; 0 315 1 0 0 0 0 1 0 1; 1 3 216 1 0 0 0 3 0 0; 2 14 1 151 0 0 0 2 0 0; 0 11 0 0 195 0 1 0 0 6; 0 6 0 2 0 142 6 1 0 1; 6 3 0 0 0 0 238 1 2 0; 0 9 0 0 0 0 0 263 0 0; 0 3 0 0 0 0 4 0 168 1; 1 16 0 2 13 1 0 4 0 151],1115
10,8,[179 2 0 0 0 0 0 1 1 0; 0 305 0 0 0 0 0 1 0 0; 1 1 189 0 0 0 0 3 0 0; 1 8 1 128 0 0 0 1 0 0; 0 5 0 0 155 0 1 0 0 2; 0 2 0 0 0 115 3 0 0 0; 2 2 0 0 0 0 198 1 0 0; 0 6 0 0 0 0 0 245 0 0; 0 2 0 0 0 0 2 0 122 0; 0 14 0 1 5 0 0 1 0 114],1480
10,9,[150 1 0 0 0 0 0 1 0 0; 0 293 0 0 0 0 0 0 0 0; 0 1 159 0 0 0 0 2 0 0; 0 3 0 96 0 0 0 0 0 0; 0 2 0 0 110 0 1 0 0 1; 0 0 0 0 0 77 1 0 0 0; 0 1 0 0 0 0 150 1 0 0; 0 3 0 0 0 0 0 215 0 0; 0 1 0 0 0 0 0 0 79 0; 0 8 0 0 2 0 0 0 0 63],1879
10,10,[98 1 0 0 0 0 0 0 0 0; 0 275 0 0 0 0 0 0 0 0; 0 1 103 0 0 0 0 1 0 0; 0 2 0 52 0 0 0 0 0 0; 0 1 0 0 57 0 0 0 0 0; 0 0 0 0 0 45 0 0 0 0; 0 0 0 0 0 0 99 0 0 0; 0 2 0 0 0 0 0 159 0 0; 0 0 0 0 0 0 0 0 49 0; 0 6 0 0 1 0 0 0 0 26],2322
11,1,[251 10 2 3 3 2 13 5 4 5; 0 334 4 0 1 0 1 3 0 5; 7 15 277 4 2 2 2 13 3 3; 7 36 10 236 2 7 2 14 11 5; 4 31 2 0 264 0 10 6 0 16; 4 27 3 9 3 229 27 2 6 9; 18 9 2 0 1 6 299 1 6 0; 1 13 7 0 0 0 2 299 2 3; 5 13 5 10 1 8 21 2 268 11; 4 37 4 3 35 3 0 13 3 229],0
11,2,[249 10 2 4 5 2 12 5 4 5; 0 334 3 0 1 0 1 3 1 5; 8 14 280 3 2 2 1 14 2 2; 9 35 12 232 1 8 3 12 10 8; 1 30 2 0 266 0 10 6 0 18; 3 25 2 10 3 230 30 1 6 9; 19 10 2 0 1 5 296 1 8 0; 0 12 5 0 0 0 1 301 3 5; 6 14 4 12 1 9 21 2 261 14; 4 36 6 3 34 3 0 12 2 231],0
11,3,[250 8 2 4 4 2 13 4 4 7; 0 335 3 0 2 0 0 3 0 5; 8 12 278 4 3 2 1 12 2 5; 8 33 12 233 2 6 2 13 11 9; 3 30 2 0 265 0 10 5 0 17; 5 24 2 10 4 225 30 1 6 9; 20 10 2 0 1 5 294 1 9 0; 1 12 4 0 0 0 2 301 3 4; 5 12 4 8 1 9 20 2 266 14; 3 35 4 4 37 3 0 13 3 228],10
11,4,[248 5 1 2 3 2 12 4 5 5; 0 334 2 0 2 0 0 3 0 4; 6 12 273 3 2 2 1 12 2 1; 7 34 10 227 2 6 1 11 11 6; 0 29 2 0 261 0 9 6 0 16; 3 22 0 9 2 220 24 1 4 7; 18 9 2 0 1 6 295 1 6 0; 0 11 4 0 0 0 1 301 2 4; 4 14 3 9 1 7 18 1 264 12; 3 32 5 3 34 3 0 12 2 231],105
11,5,[244 5 0 2 2 1 11 3 4 3; 0 330 2 0 1 0 0 2 0 4; 5 10 265 2 2 1 1 8 0 0; 5 30 5 216 0 4 1 9 5 4; 0 26 1 0 255 0 7 2 0 14; 2 17 0 6 1 207 21 1 2 5; 18 8 0 0 1 4 288 1 6 0; 0 11 3 0 0 0 0 289 1 2; 1 10 1 3 0 3 13 1 246 11; 2 29 0 3 36 3 0 8 1 220],323
11,6,[237 2 0 2 2 0 5 1 2 3; 0 328 2 0 1 0 0 1 0 4; 4 9 250 1 1 1 1 7 0 0; 2 28 2 190 0 3 1 8 4 1; 0 19 0 0 240 0 5 1 0 12; 1 13 0 3 1 186 13 1 0 3; 12 6 0 0 0 3 272 1 4 0; 0 10 1 0 0 0 0 282 0 1; 0 7 0 1 0 3 9 1 210 7; 1 26 0 3 30 2 0 6 0 205],596
11,7,[220 2 0 1 0 0 2 1 2 2; 0 317 2 0 1 0 0 1 0 2; 1 5 223 1 0 0 1 4 0 0; 2 21 1 160 0 0 0 4 1 0; 0 15 0 0 214 0 3 0 0 6; 0 10 0 3 0 160 7 1 0 2; 8 5 0 0 0 0 242 1 2 0; 0 10 0 0 0 0 0 271 0 1; 0 4 0 0 0 2 5 0 185 1; 1 18 0 2 17 1 0 5 0 172],949
11,8,[199 2 0 0 0 0 0 1 1 1; 0 312 1 0 0 0 0 1 0 1; 1 2 200 1 0 0 0 3 0 0; 2 13 1 143 0 0 0 2 0 0; 0 10 0 0 177 0 1 0 0 3; 0 5 0 0 0 131 5 0 0 1; 4 3 0 0 0 0 219 1 0 0; 0 8 0 0 0 0 0 253 0 0; 0 3 0 0 0 0 2 0 149 0; 0 16 0 1 7 1 0 3 0 136],1274
11,9,[168 1 0 0 0 0 0 1 0 0; 0 302 0 0 0 0 0 0 0 0; 0 1 175 0 0 0 0 2 0 0; 1 8 1 119 0 0 0 1 0 0; 0 5 0 0 138 0 1 0 0 2; 0 1 0 0 0 102 3 0 0 0; 1 2 0 0 0 0 180 1 0 0; 0 4 0 0 0 0 0 233 0 0; 0 2 0 0 0 0 1 0 109 0; 0 14 0 0 3 0 0 1 0 92],1625
11,10,[141 1 0 0 0 0 0 1 0 0; 0 289 0 0 0 0 0 0 0 0; 0 1 145 0 0 0 0 1 0 0; 0 3 0 83 0 0 0 0 0 0; 0 2 0 0 96 0 1 0 0 1; 0 0 0 0 0 70 1 0 0 0; 0 1 0 0 0 0 134 0 0 0; 0 3 0 0 0 0 0 197 0 0; 0 1 0 0 0 0 0 0 73 0; 0 8 0 0 2 0 0 0 0 53],1992
11,11,[90 1 0 0 0 0 0 0 0 0; 0 270 0 0 0 0 0 0 0 0; 0 1 95 0 0 0 0 1 0 0; 0 2 0 47 0 0 0 0 0 0; 0 1 0 0 49 0 0 0 0 0; 0 0 0 0 0 37 0 0 0 0; 0 0 0 0 0 0 83 0 0 0; 0 2 0 0 0 0 0 148 0 0; 0 0 0 0 0 0 0 0 42 0; 0 6 0 0 1 0 0 0 0 24],2400
12,1,[247 9 2 3 6 2 15 4 4 6; 0 333 3 0 1 0 1 3 0 7; 6 15 278 3 2 2 2 15 2 3; 9 33 13 231 2 7 1 13 11 10; 3 34 2 0 261 1 10 5 0 17; 2 26 1 10 4 226 29 3 8 10; 20 10 1 0 1 7 296 1 6 0; 1 15 7 0 0 0 2 298 2 2; 7 14 4 10 1 6 22 2 266 12; 4 37 5 3 39 3 0 12 2 226],0
12,2,[250 9 2 3 5 2 13 4 3 7; 1 334 2 0 1 0 1 3 1 5; 7 13 278 4 3 2 2 14 1 4; 10 34 11 231 3 7 1 12 11 10; 4 34 2 0 260 0 9 4 0 20; 5 27 1 9 4 222 26 4 10 11; 20 10 1 0 1 7 295 1 7 0; 1 15 6 0 0 0 2 299 2 2; 7 15 4 9 1 5 19 3 269 12; 3 35 4 3 35 3 1 15 2 230],0
12,3,[246 9 2 4 6 2 15 4 4 6; 0 333 3 0 1 0 1 3 0 7; 7 12 278 3 2 2 2 14 2 5; 10 34 12 231 2 6 1 11 12 10; 3 34 2 0 259 1 9 5 0 20; 2 26 2 8 3 226 30 2 10 8; 20 11 1 0 1 6 297 1 5 0; 1 13 7 0 0 0 2 299 2 3; 6 15 5 9 0 6 23 2 264 13; 4 36 5 3 36 3 1 12 2 229],5
12,4,[250 6 1 3 4 2 12 3 3 6; 0 332 2 0 1 0 1 3 0 6; 6 14 273 3 2 2 2 13 2 2; 7 35 11 228 2 5 1 13 10 9; 3 33 2 0 259 0 9 4 0 17; 3 23 0 8 3 220 25 2 8 9; 21 9 3 0 1 7 292 1 5 0; 1 13 6 0 0 0 1 298 2 3; 4 12 3 11 0 6 21 2 264 12; 5 33 3 3 36 3 0 11 2 231],72
12,5,[243 5 0 2 4 1 13 3 3 5; 0 331 2 0 1 0 1 3 0 5; 6 13 269 2 2 1 1 7 0 0; 5 33 7 221 1 6 1 10 6 7; 0 32 1 0 252 0 7 3 0 20; 3 19 0 8 2 207 24 1 5 5; 19 7 0 0 1 5 292 1 5 0; 0 13 3 0 0 0 0 290 1 2; 1 11 1 6 0 4 17 2 254 10; 3 31 0 3 36 3 0 9 2 221],238
12,6,[241 4 0 2 3 1 6 1 2 3; 0 327 2 0 1 0 0 2 0 5; 3 9 258 1 1 1 1 7 0 0; 5 29 4 198 0 3 1 7 4 5; 0 27 1 0 243 0 6 2 0 10; 3 16 0 3 1 193 15 1 0 4; 15 7 0 0 0 3 279 1 5 0; 0 10 2 0 0 0 0 285 0 1; 0 9 1 2 0 3 11 1 226 9; 1 29 0 3 32 2 0 7 0 211],483
12,7,[229 2 0 1 1 0 4 1 2 2; 0 321 2 0 1 0 0 1 0 3; 1 7 237 1 0 0 1 6 0 0; 2 24 2 175 0 0 1 7 2 0; 0 17 0 0 228 0 4 0 0 9; 1 12 0 3 0 174 10 1 0 3; 11 6 0 0 0 2 258 1 2 0; 0 10 0 0 0 0 0 274 0 1; 0 6 0 0 0 2 7 0 198 4; 1 23 0 3 25 2 0 6 0 185],775
12,8,[211 2 0 1 0 0 1 1 2 1; 0 316 2 0 0 0 0 1 0 2; 1 4 210 1 0 0 0 3 0 0; 2 17 1 149 0 0 0 3 0 0; 0 13 0 0 193 0 2 0 0 5; 0 7 0 0 0 149 6 1 0 1; 5 3 0 0 0 0 233 1 2 0; 0 10 0 0 0 0 0 263 0 0; 0 4 0 0 0 1 3 0 167 0; 1 17 0 1 14 1 0 4 0 159],1103
12,9,[181 1 0 0 0 0 0 1 0 1; 0 307 0 0 0 0 0 1 0 0; 1 2 192 1 0 0 0 3 0 0; 1 10 1 137 0 0 0 2 0 0; 0 9 0 0 162 0 1 0 0 3; 0 4 0 0 0 118 5 0 0 0; 3 3 0 0 0 0 203 1 0 0; 0 4 0 0 0 0 0 240 0 0; 0 3 0 0 0 0 2 0 131 0; 0 15 0 0 5 0 0 2 0 109],1435
12,10,[161 1 0 0 0 0 0 1 0 0; 0 298 0 0 0 0 0 0 0 0; 0 1 163 0 0 0 0 1 0 0; 0 7 1 106 0 0 0 0 0 0; 0 5 0 0 129 0 1 0 0 1; 0 1 0 0 0 93 3 0 0 0; 0 2 0 0 0 0 170 1 0 0; 0 4 0 0 0 0 0 220 0 0; 0 2 0 0 0 0 1 0 96 0; 0 12 0 0 2 0 0 1 0 70],1746
12,11,[134 1 0 0 0 0 0 1 0 0; 0 286 0 0 0 0 0 0 0 0; 0 1 135 0 0 0 0 1 0 0; 0 3 0 78 0 0 0 0 0 0; 0 1 0 0 83 0 1 0 0 1; 0 0 0 0 0 58 1 0 0 0; 0 1 0 0 0 0 122 0 0 0; 0 3 0 0 0 0 0 185 0 0; 0 1 0 0 0 0 0 0 63 0; 0 8 0 0 2 0 0 0 0 45],2085
12,12,[83 1 0 0 0 0 0 0 0 0; 0 264 0 0 0 0 0 0 0 0; 0 1 86 0 0 0 0 0 0 0; 0 2 0 41 0 0 0 0 0 0; 0 0 0 0 43 0 0 0 0 0; 0 0 0 0 0 30 0 0 0 0; 0 0 0 0 0 0 70 0 0 0; 0 1 0 0 0 0 0 141 0 0; 0 0 0 0 0 0 0 0 36 0; 0 4 0 0 0 0 0 0 0 21],2476
13,1,[249 9 2 4 4 2 13 4 3 8; 1 330 2 0 2 0 2 3 0 8; 7 14 279 3 2 2 2 13 1 5; 8 36 11 230 2 7 3 13 8 12; 5 36 2 0 256 0 10 5 0 19; 4 24 3 7 4 227 30 3 7 10; 17 9 2 0 1 6 299 1 7 0; 1 13 5 0 1 0 1 300 3 3; 7 16 4 10 1 7 20 2 263 14; 3 35 6 4 37 3 0 13 3 227],0
13,2,[248 10 3 3 3 2 13 4 5 7; 0 332 2 0 2 0 2 3 0 7; 6 14 277 4 2 2 3 15 1 4; 8 36 10 231 2 6 2 13 9 13; 4 37 2 0 258 0 10 4 0 18; 4 23 2 8 4 223 31 2 11 11; 19 11 1 0 1 6 295 1 8 0; 1 12 5 0 1 1 1 299 3 4; 5 16 5 10 2 7 20 1 264 14; 3 34 5 4 37 3 0 14 2 229],0
13,3,[250 8 2 4 3 2 14 4 3 8; 0 332 2 0 2 0 2 3 0 7; 7 14 278 2 2 2 2 15 1 5; 8 36 11 231 3 6 2 14 9 10; 4 36 2 0 258 1 10 5 0 17; 3 26 2 9 4 225 30 2 6 12; 17 9 2 0 1 5 302 1 5 0; 1 14 7 0 1 0 2 296 3 3; 7 17 3 11 2 7 21 1 261 14; 3 35 5 4 35 3 0 14 3 229],0
13,4,[251 8 2 3 3 2 12 3 3 6; 0 332 2 0 1 0 2 3 0 6; 6 13 277 3 2 2 3 13 2 3; 7 36 10 231 1 6 2 13 9 9; 4 37 2 0 252 0 9 5 0 18; 4 23 1 7 4 220 30 1 6 11; 17 9 1 0 1 6 298 1 7 0; 1 12 5 0 1 1 1 298 3 3; 6 16 4 10 2 7 21 1 259 14; 3 35 4 4 35 3 0 13 3 229],45
13,5,[246 6 0 2 3 1 11 3 5 6; 0 333 2 0 1 0 1 3 0 4; 6 13 272 2 2 2 1 9 1 1; 5 35 9 223 1 6 1 12 8 7; 2 34 2 0 254 0 8 4 0 16; 4 18 0 6 2 213 28 1 5 7; 18 9 0 0 1 5 293 1 7 0; 0 12 3 0 0 0 1 295 1 3; 2 13 3 7 1 5 19 1 261 11; 3 32 1 3 35 3 0 12 3 224],165
13,6,[240 5 0 2 3 1 9 1 2 4; 0 326 2 0 1 0 0 2 0 6; 5 9 261 1 1 1 1 6 0 0; 5 31 5 204 0 6 1 8 4 5; 0 31 1 0 245 0 7 3 0 15; 3 16 0 4 1 199 20 1 1 4; 15 7 0 0 1 2 287 1 6 0; 0 11 1 0 0 0 0 287 1 1; 0 10 1 4 0 4 11 1 235 9; 1 30 0 3 35 2 0 7 1 217],400
13,7,[236 4 0 1 1 0 5 1 2 3; 0 321 2 0 1 0 0 1 0 3; 3 8 245 1 0 0 1 6 0 0; 4 27 3 184 0 1 1 8 2 2; 0 24 1 0 232 0 5 2 0 10; 3 14 0 3 0 178 12 1 0 4; 12 6 0 0 0 2 264 1 3 0; 0 10 0 0 0 0 0 276 0 1; 0 8 0 1 0 3 8 1 212 6; 1 25 0 3 30 2 0 6 0 200],653
13,8,[216 2 0 1 0 0 3 1 2 1; 0 318 2 0 0 0 0 1 0 3; 1 6 221 1 0 0 0 4 0 0; 2 20 2 162 0 0 0 3 1 0; 0 15 0 0 209 0 3 0 0 6; 0 12 0 1 0 158 10 1 0 1; 8 5 0 0 0 0 244 1 2 0; 0 10 0 0 0 0 0 269 0 1; 0 6 0 0 0 1 4 0 182 1; 1 20 0 2 17 1 0 4 0 168],964
13,9,[195 2 0 1 0 0 1 1 1 1; 0 312 2 0 0 0 0 1 0 1; 1 3 203 1 0 0 0 3 0 0; 1 15 1 144 0 0 0 2 0 0; 0 13 0 0 182 0 1 0 0 4; 0 5 0 0 0 135 5 0 0 0; 5 3 0 0 0 0 223 1 1 0; 0 7 0 0 0 0 0 254 0 0; 0 4 0 0 0 0 2 0 154 0; 0 16 0 1 8 1 0 3 0 137],1243
13,10,[176 1 0 0 0 0 0 1 0 0; 0 303 0 0 0 0 0 0 0 0; 1 1 178 0 0 0 0 3 0 0; 0 10 1 123 0 0 0 0 0 0; 0 8 0 0 148 0 1 0 0 3; 0 3 0 0 0 109 5 0 0 0; 2 2 0 0 0 0 196 1 0 0; 0 4 0 0 0 0 0 232 0 0; 0 2 0 0 0 0 1 0 111 0; 0 13 0 0 4 0 0 2 0 92],1563
13,11,[154 1 0 0 0 0 0 1 0 0; 0 295 0 0 0 0 0 0 0 0; 0 1 159 0 0 0 0 1 0 0; 0 6 0 92 0 0 0 0 0 0; 0 5 0 0 115 0 1 0 0 1; 0 1 0 0 0 82 1 0 0 0; 0 2 0 0 0 0 151 0 0 0; 0 3 0 0 0 0 0 211 0 0; 0 2 0 0 0 0 0 0 85 0; 0 10 0 0 2 0 0 0 0 61],1857
13,12,[123 1 0 0 0 0 0 0 0 0; 0 282 0 0 0 0 0 0 0 0; 0 1 127 0 0 0 0 1 0 0; 0 3 0 69 0 0 0 0 0 0; 0 1 0 0 69 0 1 0 0 0; 0 0 0 0 0 48 1 0 0 0; 0 0 0 0 0 0 110 0 0 0; 0 2 0 0 0 0 0 176 0 0; 0 1 0 0 0 0 0 0 57 0; 0 8 0 0 2 0 0 0 0 37],2180
13,13,[78 1 0 0 0 0 0 0 0 0; 0 260 0 0 0 0 0 0 0 0; 0 1 75 0 0 0 0 0 0 0; 0 2 0 38 0 0 0 0 0 0; 0 0 0 0 37 0 0 0 0 0; 0 0 0 0 0 26 0 0 0 0; 0 0 0 0 0 0 60 0 0 0; 0 1 0 0 0 0 0 130 0 0; 0 0 0 0 0 0 0 0 30 0; 0 4 0 0 0 0 0 0 0 19],2538
